LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
27.71738,26.8458,27.416767,0.9523155825297657,0.9651209820271964,0.9716034500496761
27.893383,26.64873,27.168074,0.956771636746918,0.9676367662679777,0.9734765573277753
27.948275,26.814404,27.284689,0.9605805505334886,0.9700740906689349,0.9749745357298651
27.730663,26.64419,27.129553,0.9584447959732659,0.9692095912586489,0.974635525744549
27.604235,26.566616,27.145319,0.962166899448516,0.9719567970941796,0.9775244980633434
27.802494,26.740566,27.310905,0.9582065763222161,0.968437259138598,0.9745031133623864
27.993708,26.985483,27.49126,0.972265696750084,0.9785222108420065,0.9819738587711453
27.943983,26.79901,27.29826,0.9763061501366629,0.980783231685793,0.9841410123749038
27.92959,26.948729,27.376726,0.9698511166233403,0.9769043418855673,0.9804159913682138
27.998661,27.133722,27.620947,0.9651105127531784,0.9722893185264988,0.9762282279372019
27.956781,26.926193,27.356184,0.9664672681096466,0.972629290341653,0.9767151656864764
28.004906,26.706121,27.141724,0.967751133901631,0.9735479165309687,0.9776598221219042
28.11509,27.234009,27.702562,0.9750246868250675,0.9806497080885977,0.9838595684852826
27.866343,26.713514,27.09379,0.9785287912112834,0.9825050395851193,0.9849496633298627
27.872477,26.379887,26.628956,0.9770273477259614,0.9810524828650884,0.9830713736672049
27.966251,26.416122,26.847782,0.9781487873550547,0.9814564822125178,0.9831959224529838
27.904766,26.417095,26.60652,0.9751568631441876,0.9791229385479585,0.9811090343762622
27.879896,26.094288,26.23346,0.9753291586816109,0.978537636657456,0.980267639374768
27.70145,25.758265,25.894081,0.975152666167501,0.9785925375758343,0.9807240241818787
27.59991,25.91058,26.096622,0.9721922782251072,0.9774505977019315,0.9797095245375704
27.741371,26.158909,26.448128,0.971313621095895,0.9760476782085491,0.9787902296417975
27.72213,26.257523,26.512072,0.9712322936258516,0.9762925641675907,0.9787931784854289
27.733385,26.13319,26.505966,0.9725499174510382,0.9764977564070888,0.9792947492551657
27.567137,25.916756,26.149702,0.9688796678060939,0.9745561630657018,0.9771058115051917
27.807856,26.48391,26.78108,0.9741469674608209,0.9793004765705029,0.9815183731854948
27.858402,26.170351,26.499998,0.9710796954309511,0.9760907578005567,0.9794642399474411
27.710932,26.28635,26.580063,0.9773007817803848,0.9812346264278462,0.9834326604517478
27.800041,26.232826,26.569118,0.9800300929909483,0.9830118868749146,0.985250646946999
27.758873,26.31116,26.73998,0.9797406303185415,0.9838135065482205,0.9860459232298685
27.828653,26.210691,26.602486,0.9747846433526044,0.9788176110303134,0.9817475913153516
27.761679,26.542793,26.9254,0.9683380585209984,0.9747497505968153,0.9788220034767952
27.988577,26.654661,27.090302,0.9753759062835264,0.9791049195010074,0.9819758535128688
27.89468,26.22342,26.658144,0.9748562268026297,0.9784736711562781,0.9805403411087855
28.027088,26.18839,26.401289,0.9788431620732256,0.9815751844381974,0.9831879000267947
27.78526,26.336113,26.633604,0.9730741537728633,0.9778638094728279,0.9802684656429224
27.812122,26.304255,26.626205,0.9735319792736506,0.9795426501952001,0.9820290099788754
27.803833,26.136759,26.589039,0.9681945105474198,0.9741509867228448,0.9780281990222709
27.759335,26.175228,26.611097,0.9653935178439926,0.9725679793401082,0.9766731827360615
27.812393,26.160316,26.444185,0.9638121087184339,0.9704779194501106,0.9742328681268931
27.86382,26.337479,26.68335,0.967295293135982,0.9731064621839779,0.9761101915157463
27.953665,26.574589,26.929749,0.962148081856964,0.9691004763554943,0.9727871141893967
27.951504,26.558931,26.927055,0.9680619574794005,0.973299994712745,0.975992486994557
27.955444,26.552399,26.855509,0.9671531563650958,0.9726123362713852,0.9755934013172968
27.887514,26.404709,26.831732,0.961810945190843,0.9682123162941039,0.9717648006949694
27.797354,26.248234,26.644527,0.9650113211541115,0.970123488747823,0.9732803790054059
27.723473,25.72815,25.994673,0.9654773085322137,0.9694662564563823,0.9721703320631598
27.795784,25.857756,26.117989,0.9687001997606915,0.9726663615595776,0.9755057055817494
27.786137,26.091156,26.393253,0.9644418414493875,0.9701093071253242,0.973608847567191
27.817476,26.203249,26.496466,0.9665273289436863,0.9715844643056937,0.9744340545006064
27.806398,25.868393,26.0625,0.9664882725843037,0.9717782899627885,0.9745009500146985
27.804691,26.17161,26.487583,0.9655044761137198,0.9706711680639053,0.9738076952413798
27.718952,25.786448,25.997572,0.9697255381816456,0.9743092010556701,0.9767766832156152
27.646145,25.492086,25.63484,0.9785413527092859,0.9814804164698375,0.9831598656163767
27.799988,25.887754,26.059746,0.9691927032312847,0.9736717675019676,0.976103712746576
27.83365,26.028164,26.258446,0.9652986726263617,0.9710612639992702,0.9740065906684137
27.719482,25.663673,25.939587,0.9669446401760383,0.9711100609408858,0.9737113311717543
27.80834,25.801907,26.079855,0.9652234052140682,0.970802991893414,0.9740881601966569
27.833576,26.038658,26.24414,0.9646669959521085,0.9707672860371894,0.9733430704691106
27.872831,26.170269,26.52589,0.9621823638698316,0.9684858543618171,0.9723046178581315
27.66055,25.831104,26.067844,0.9644319961055066,0.9707615210533759,0.973746992189327
27.86608,26.070835,26.279148,0.9633423488934999,0.9689810756078238,0.9719853954687003
27.808016,25.671402,25.783005,0.9663071321556981,0.9708592759909712,0.9731775882112884
27.864006,25.876999,26.000776,0.9659267698274756,0.9711374155709702,0.9737525731821591
27.954094,26.155006,26.405285,0.9626992941173338,0.9683779095499443,0.9714641536620513
27.94607,26.376781,26.60434,0.9651012712401289,0.9702272290558963,0.9733537440467804
27.958014,26.239988,26.533518,0.9630758411669361,0.9698724828164745,0.973619877338369
28.088982,26.45875,26.74831,0.9627020361109462,0.9692597530296141,0.9727104977053783
